,ID_SALON,NOMBRE_SALON,CAPACIDAD,ID_SEDE,ACTIVO,USUARIO,PASSWORD
119,193,21B,50,21,0,,
120,193,21B,50,21,0,,
121,152,1A,51,20,0,,
122,102,40C,42,18,0,,
123,152,1A,51,20,0,,
124,194,22C,50,21,0,,
125,194,22C,50,21,0,,
126,100,39A,41,18,0,,
127,130,54C,52,19,0,,
128,194,22C,50,21,0,,
129,195,22D,50,21,0,,
130,195,22D,50,21,0,,
131,192,21A,51,21,0,,
132,102,40C,42,18,0,,
133,102,40C,42,18,0,,
134,192,21A,51,21,0,,
135,195,22D,50,21,0,,
136,193,21B,50,21,0,,
137,152,1A,51,20,0,,
138,102,40C,42,18,0,,
139,101,39B,41,18,0,,
140,193,21B,50,21,0,,
141,154,2C,53,20,0,,
142,102,40C,42,18,0,,
143,102,40C,42,18,0,,
144,102,40C,42,18,0,,
145,195,22D,50,21,0,,
146,195,22D,50,21,0,,
147,194,22C,50,21,0,,
148,194,22C,50,21,0,,
149,195,22D,50,21,0,,
150,195,22D,50,21,0,,
151,192,21A,51,21,0,,
152,131,54D,50,19,0,,
153,193,21B,50,21,0,,
154,100,39A,41,18,0,,
155,128,53A,51,19,0,,
156,154,2C,53,20,0,,
157,130,54C,52,19,0,,
158,195,22D,50,21,0,,
159,228,65A,51,22,0,,
160,193,21B,50,21,0,,
161,228,65A,51,22,0,,
162,102,40C,42,18,0,,
163,128,53A,51,19,0,,
164,128,53A,51,19,0,,
165,100,39A,41,18,0,,
166,128,53A,51,19,0,,
167,128,53A,51,19,0,,
168,100,39A,41,18,0,,
169,128,53A,51,19,0,,
170,228,65A,51,22,0,,
171,128,53A,51,19,0,,
172,128,53A,51,19,0,,
173,154,2C,53,20,0,,
174,230,66C,50,22,0,,
175,230,66C,50,22,0,,
176,228,65A,51,22,0,,
177,128,53A,51,19,0,,
178,230,66C,50,22,0,,
179,230,66C,50,22,0,,
180,230,66C,50,22,0,,
181,194,22C,50,21,0,,
182,100,39A,41,18,0,,
183,102,40C,42,18,0,,
184,194,22C,50,21,0,,
185,102,40C,42,18,0,,
186,194,22C,50,21,0,,
187,192,21A,51,21,0,,
188,194,22C,50,21,0,,
189,154,2C,53,20,0,,
190,154,2C,53,20,0,,
191,229,65B,50,22,0,,
192,100,39A,41,18,0,,
193,131,54D,50,19,0,,
194,229,65B,50,22,0,,
195,230,66C,50,22,0,,
196,100,39A,41,18,0,,
197,100,39A,41,18,0,,
198,194,22C,50,21,0,,
199,102,40C,42,18,0,,
200,154,2C,53,20,0,,
201,100,39A,41,18,0,,
202,128,53A,51,19,0,,
203,194,22C,50,21,0,,
204,154,2C,53,20,0,,
205,194,22C,50,21,0,,
206,152,1A,51,20,0,,
207,154,2C,53,20,0,,
208,128,53A,51,19,0,,
209,102,40C,42,18,0,,
210,103,40D,41,18,0,,
211,130,54C,52,19,0,,
212,192,21A,51,21,0,,
213,102,40C,42,18,0,,
214,228,65A,51,22,0,,
215,102,40C,42,18,0,,
216,154,2C,53,20,0,,
217,230,66C,50,22,0,,
218,153,1B,50,20,0,,
219,154,2C,53,20,0,,
220,230,66C,50,22,0,,
221,194,22C,50,21,0,,
222,192,21A,51,21,0,,
223,154,2C,53,20,0,,
224,128,53A,51,19,0,,
225,152,1A,51,20,0,,
226,100,39A,41,18,0,,
227,100,39A,41,18,0,,
228,194,22C,50,21,0,,
229,194,22C,50,21,0,,
230,102,40C,42,18,0,,
231,100,39A,41,18,0,,
232,154,2C,53,20,0,,
233,195,22D,50,21,0,,
234,152,1A,51,20,0,,
235,130,54C,52,19,0,,
236,153,1B,50,20,0,,
237,228,65A,51,22,0,,
238,152,1A,51,20,0,,
239,152,1A,51,20,0,,
240,193,21B,50,21,0,,
241,154,2C,53,20,0,,
242,154,2C,53,20,0,,
243,152,1A,51,20,0,,
244,194,22C,50,21,0,,
245,101,39B,41,18,0,,
246,194,22C,50,21,0,,
247,228,65A,51,22,0,,
248,192,21A,51,21,0,,
249,102,40C,42,18,0,,
250,102,40C,42,18,0,,
251,230,66C,50,22,0,,
252,152,1A,51,20,0,,
253,154,2C,53,20,0,,
254,102,40C,42,18,0,,
255,152,1A,51,20,0,,
256,194,22C,50,21,0,,
257,100,39A,41,18,0,,
258,100,39A,41,18,0,,
259,100,39A,41,18,0,,
260,192,21A,51,21,0,,
261,128,53A,51,19,0,,
262,194,22C,50,21,0,,
263,101,39B,41,18,0,,
264,100,39A,41,18,0,,
265,128,53A,51,19,0,,
266,192,21A,51,21,0,,
267,102,40C,42,18,0,,
268,194,22C,50,21,0,,
269,154,2C,53,20,0,,
270,102,40C,42,18,0,,
271,154,2C,53,20,0,,
272,153,1B,50,20,0,,
273,153,1B,50,20,0,,
274,153,1B,50,20,0,,
275,152,1A,51,20,0,,
276,194,22C,50,21,0,,
277,152,1A,51,20,0,,
278,194,22C,50,21,0,,
279,152,1A,51,20,0,,
280,192,21A,51,21,0,,
281,103,40D,41,18,0,,
282,100,39A,41,18,0,,
283,193,21B,50,21,0,,
284,101,39B,41,18,0,,
285,195,22D,50,21,0,,
286,152,1A,51,20,0,,
287,100,39A,41,18,0,,
288,128,53A,51,19,0,,
289,154,2C,53,20,0,,
290,154,2C,53,20,0,,
291,154,2C,53,20,0,,
292,194,22C,50,21,0,,
293,192,21A,51,21,0,,
294,155,2D,51,20,0,,
295,194,22C,50,21,0,,
296,192,21A,51,21,0,,
297,155,2D,51,20,0,,
298,229,65B,50,22,0,,
299,193,21B,50,21,0,,
300,154,2C,53,20,0,,
301,152,1A,51,20,0,,
302,102,40C,42,18,0,,
303,100,39A,41,18,0,,
304,103,40D,41,18,0,,
305,102,40C,42,18,0,,
306,194,22C,50,21,0,,
307,152,1A,51,20,0,,
308,194,22C,50,21,0,,
309,155,2D,51,20,0,,
310,155,2D,51,20,0,,
311,155,2D,51,20,0,,
312,152,1A,51,20,0,,
313,194,22C,50,21,0,,
314,228,65A,51,22,0,,
315,228,65A,51,22,0,,
316,154,2C,53,20,0,,
317,102,40C,42,18,0,,
318,192,21A,51,21,0,,
319,228,65A,51,22,0,,
320,193,21B,50,21,0,,
321,194,22C,50,21,0,,
322,194,22C,50,21,0,,
323,194,22C,50,21,0,,
324,154,2C,53,20,0,,
325,100,39A,41,18,0,,
326,195,22D,50,21,0,,
327,194,22C,50,21,0,,
328,194,22C,50,21,0,,
329,130,54C,52,19,0,,
330,192,21A,51,21,0,,
331,152,1A,51,20,0,,
332,130,54C,52,19,0,,
333,153,1B,50,20,0,,
334,129,53B,51,19,0,,
335,102,40C,42,18,0,,
336,128,53A,51,19,0,,
337,192,21A,51,21,0,,
338,195,22D,50,21,0,,
339,195,22D,50,21,0,,
340,192,21A,51,21,0,,
341,192,21A,51,21,0,,
342,100,39A,41,18,0,,
343,100,39A,41,18,0,,
344,194,22C,50,21,0,,
345,193,21B,50,21,0,,
346,154,2C,53,20,0,,
347,101,39B,41,18,0,,
348,152,1A,51,20,0,,
349,101,39B,41,18,0,,
350,154,2C,53,20,0,,
351,228,65A,51,22,0,,
352,103,40D,41,18,0,,
353,128,53A,51,19,0,,
354,152,1A,51,20,0,,
355,154,2C,53,20,0,,
356,102,40C,42,18,0,,
357,153,1B,50,20,0,,
358,153,1B,50,20,0,,
359,128,53A,51,19,0,,
360,195,22D,50,21,0,,
361,195,22D,50,21,0,,
362,154,2C,53,20,0,,
363,228,65A,51,22,0,,
364,101,39B,41,18,0,,
365,100,39A,41,18,0,,
366,154,2C,53,20,0,,
367,100,39A,41,18,0,,
368,130,54C,52,19,0,,
369,228,65A,51,22,0,,
370,193,21B,50,21,0,,
371,192,21A,51,21,0,,
372,194,22C,50,21,0,,
373,194,22C,50,21,0,,
374,194,22C,50,21,0,,
375,194,22C,50,21,0,,
376,194,22C,50,21,0,,
377,106,42C,41,18,0,,
378,106,42C,41,18,0,,
379,192,21A,51,21,0,,
380,228,65A,51,22,0,,
381,194,22C,50,21,0,,
382,100,39A,41,18,0,,
383,194,22C,50,21,0,,
384,128,53A,51,19,0,,
385,194,22C,50,21,0,,
386,194,22C,50,21,0,,
387,193,21B,50,21,0,,
388,100,39A,41,18,0,,
389,154,2C,53,20,0,,
390,194,22C,50,21,0,,
391,194,22C,50,21,0,,
392,194,22C,50,21,0,,
393,128,53A,51,19,0,,
394,192,21A,51,21,0,,
395,106,42C,41,18,0,,
396,152,1A,51,20,0,,
397,152,1A,51,20,0,,
398,100,39A,41,18,0,,
399,106,42C,41,18,0,,
400,128,53A,51,19,0,,
401,101,39B,41,18,0,,
402,106,42C,41,18,0,,
403,192,21A,51,21,0,,
404,100,39A,41,18,0,,
405,106,42C,41,18,0,,
406,154,2C,53,20,0,,
407,103,40D,41,18,0,,
408,154,2C,53,20,0,,
409,128,53A,51,19,0,,
410,192,21A,51,21,0,,
411,192,21A,51,21,0,,
412,192,21A,51,21,0,,
413,230,66C,50,22,0,,
414,230,66C,50,22,0,,
415,128,53A,51,19,0,,
416,192,21A,51,21,0,,
417,131,54D,50,19,0,,
418,192,21A,51,21,0,,
419,192,21A,51,21,0,,
420,230,66C,50,22,0,,
421,230,66C,50,22,0,,
422,152,1A,51,20,0,,
423,228,65A,51,22,0,,
424,154,2C,53,20,0,,
425,228,65A,51,22,0,,
426,192,21A,51,21,0,,
427,198,24C,50,21,0,,
428,154,2C,53,20,0,,
429,192,21A,51,21,0,,
430,198,24C,50,21,0,,
431,193,21B,50,21,0,,
432,193,21B,50,21,0,,
433,192,21A,51,21,0,,
434,103,40D,41,18,0,,
435,192,21A,51,21,0,,
436,198,24C,50,21,0,,
437,106,42C,41,18,0,,
438,128,53A,51,19,0,,
439,230,66C,50,22,0,,
440,230,66C,50,22,0,,
441,104,41A,40,18,0,,
442,154,2C,53,20,0,,
443,198,24C,50,21,0,,
444,104,41A,40,18,0,,
445,198,24C,50,21,0,,
446,228,65A,51,22,0,,
447,152,1A,51,20,0,,
448,153,1B,50,20,0,,
449,192,21A,51,21,0,,
450,104,41A,40,18,0,,
451,230,66C,50,22,0,,
452,198,24C,50,21,0,,
453,152,1A,51,20,0,,
454,195,22D,50,21,0,,
455,130,54C,52,19,0,,
456,153,1B,50,20,0,,
457,153,1B,50,20,0,,
458,153,1B,50,20,0,,
459,104,41A,40,18,0,,
460,101,39B,41,18,0,,
461,104,41A,40,18,0,,
462,104,41A,40,18,0,,
463,104,41A,40,18,0,,
464,104,41A,40,18,0,,
465,104,41A,40,18,0,,
466,104,41A,40,18,0,,
467,104,41A,40,18,0,,
468,192,21A,51,21,0,,
469,154,2C,53,20,0,,
470,106,42C,41,18,0,,
471,152,1A,51,20,0,,
472,192,21A,51,21,0,,
473,131,54D,50,19,0,,
474,106,42C,41,18,0,,
475,130,54C,52,19,0,,
476,106,42C,41,18,0,,
477,192,21A,51,21,0,,
478,106,42C,41,18,0,,
479,195,22D,50,21,0,,
480,152,1A,51,20,0,,
481,154,2C,53,20,0,,
482,154,2C,53,20,0,,
483,193,21B,50,21,0,,
484,104,41A,40,18,0,,
485,104,41A,40,18,0,,
486,198,24C,50,21,0,,
487,228,65A,51,22,0,,
488,228,65A,51,22,0,,
489,198,24C,50,21,0,,
490,152,1A,51,20,0,,
491,158,4C,51,20,0,,
492,103,40D,41,18,0,,
493,195,22D,50,21,0,,
494,198,24C,50,21,0,,
495,228,65A,51,22,0,,
496,158,4C,51,20,0,,
497,158,4C,51,20,0,,
498,158,4C,51,20,0,,
499,230,66C,50,22,0,,
500,230,66C,50,22,0,,
501,104,41A,40,18,0,,
502,106,42C,41,18,0,,
503,192,21A,51,21,0,,
504,192,21A,51,21,0,,
505,192,21A,51,21,0,,
506,152,1A,51,20,0,,
507,103,40D,41,18,0,,
508,104,41A,40,18,0,,
509,192,21A,51,21,0,,
510,106,42C,41,18,0,,
511,196,23A,50,21,0,,
512,196,23A,50,21,0,,
513,198,24C,50,21,0,,
514,198,24C,50,21,0,,
515,158,4C,51,20,0,,
516,158,4C,51,20,0,,
517,158,4C,51,20,0,,
518,158,4C,51,20,0,,
519,158,4C,51,20,0,,
520,158,4C,51,20,0,,
521,152,1A,51,20,0,,
522,158,4C,51,20,0,,
523,193,21B,50,21,0,,
524,130,54C,52,19,0,,
525,158,4C,51,20,0,,
526,152,1A,51,20,0,,
527,152,1A,51,20,0,,
528,152,1A,51,20,0,,
529,128,53A,51,19,0,,
530,128,53A,51,19,0,,
531,153,1B,50,20,0,,
532,103,40D,41,18,0,,
533,198,24C,50,21,0,,
534,196,23A,50,21,0,,
535,198,24C,50,21,0,,
536,106,42C,41,18,0,,
537,103,40D,41,18,0,,
538,198,24C,50,21,0,,
539,106,42C,41,18,0,,
540,106,42C,41,18,0,,
541,101,39B,41,18,0,,
542,101,39B,41,18,0,,
543,229,65B,50,22,0,,
544,198,24C,50,21,0,,
545,198,24C,50,21,0,,
546,106,42C,41,18,0,,
547,158,4C,51,20,0,,
548,155,2D,51,20,0,,
549,198,24C,50,21,0,,
550,104,41A,40,18,0,,
551,101,39B,41,18,0,,
552,158,4C,51,20,0,,
553,158,4C,51,20,0,,
554,198,24C,50,21,0,,
555,198,24C,50,21,0,,
556,198,24C,50,21,0,,
557,158,4C,51,20,0,,
558,128,53A,51,19,0,,
559,152,1A,51,20,0,,
560,152,1A,51,20,0,,
561,230,66C,50,22,0,,
562,230,66C,50,22,0,,
563,130,54C,52,19,0,,
564,106,42C,41,18,0,,
565,104,41A,40,18,0,,
566,106,42C,41,18,0,,
567,196,23A,50,21,0,,
568,104,41A,40,18,0,,
569,193,21B,50,21,0,,
570,193,21B,50,21,0,,
571,196,23A,50,21,0,,
572,193,21B,50,21,0,,
573,104,41A,40,18,0,,
574,104,41A,40,18,0,,
575,158,4C,51,20,0,,
576,155,2D,51,20,0,,
577,104,41A,40,18,0,,
578,198,24C,50,21,0,,
579,104,41A,40,18,0,,
580,158,4C,51,20,0,,
581,156,3A,51,20,0,,
582,196,23A,50,21,0,,
583,153,1B,50,20,0,,
584,101,39B,41,18,0,,
585,158,4C,51,20,0,,
586,158,4C,51,20,0,,
587,198,24C,50,21,0,,
588,196,23A,50,21,0,,
589,198,24C,50,21,0,,
590,198,24C,50,21,0,,
591,198,24C,50,21,0,,
592,198,24C,50,21,0,,
593,198,24C,50,21,0,,
594,196,23A,50,21,0,,
595,153,1B,50,20,0,,
596,193,21B,50,21,0,,
597,130,54C,52,19,0,,
598,198,24C,50,21,0,,
599,130,54C,52,19,0,,
600,106,42C,41,18,0,,
601,106,42C,41,18,0,,
602,195,22D,50,21,0,,
603,101,39B,41,18,0,,
604,158,4C,51,20,0,,
605,158,4C,51,20,0,,
606,196,23A,50,21,0,,
607,130,54C,52,19,0,,
608,106,42C,41,18,0,,
609,155,2D,51,20,0,,
610,155,2D,51,20,0,,
611,155,2D,51,20,0,,
612,193,21B,50,21,0,,
613,103,40D,41,18,0,,
614,158,4C,51,20,0,,
615,196,23A,50,21,0,,
616,106,42C,41,18,0,,
617,156,3A,51,20,0,,
618,229,65B,50,22,0,,
619,156,3A,51,20,0,,
620,156,3A,51,20,0,,
621,101,39B,41,18,0,,
622,196,23A,50,21,0,,
623,228,65A,51,22,0,,
624,198,24C,50,21,0,,
625,198,24C,50,21,0,,
626,158,4C,51,20,0,,
627,153,1B,50,20,0,,
628,198,24C,50,21,0,,
629,104,41A,40,18,0,,
630,228,65A,51,22,0,,
631,198,24C,50,21,0,,
632,158,4C,51,20,0,,
633,156,3A,51,20,0,,
634,106,42C,41,18,0,,
635,104,41A,40,18,0,,
636,128,53A,51,19,0,,
637,106,42C,41,18,0,,
638,196,23A,50,21,0,,
639,131,54D,50,19,0,,
640,130,54C,52,19,0,,
641,106,42C,41,18,0,,
642,106,42C,41,18,0,,
643,156,3A,51,20,0,,
644,198,24C,50,21,0,,
645,106,42C,41,18,0,,
646,198,24C,50,21,0,,
647,104,41A,40,18,0,,
648,131,54D,50,19,0,,
649,128,53A,51,19,0,,
650,153,1B,50,20,0,,
651,156,3A,51,20,0,,
652,106,42C,41,18,0,,
653,156,3A,51,20,0,,
654,196,23A,50,21,0,,
655,106,42C,41,18,0,,
656,106,42C,41,18,0,,
657,228,65A,51,22,0,,
658,156,3A,51,20,0,,
659,193,21B,50,21,0,,
660,196,23A,50,21,0,,
661,104,41A,40,18,0,,
662,198,24C,50,21,0,,
663,156,3A,51,20,0,,
664,155,2D,51,20,0,,
665,156,3A,51,20,0,,
666,193,21B,50,21,0,,
667,158,4C,51,20,0,,
668,198,24C,50,21,0,,
669,196,23A,50,21,0,,
670,128,53A,51,19,0,,
671,158,4C,51,20,0,,
672,131,54D,50,19,0,,
673,131,54D,50,19,0,,
674,195,22D,50,21,0,,
675,106,42C,41,18,0,,
676,106,42C,41,18,0,,
677,196,23A,50,21,0,,
678,101,39B,41,18,0,,
679,106,42C,41,18,0,,
680,156,3A,51,20,0,,
681,101,39B,41,18,0,,
682,101,39B,41,18,0,,
683,104,41A,40,18,0,,
684,104,41A,40,18,0,,
685,128,53A,51,19,0,,
686,193,21B,50,21,0,,
687,193,21B,50,21,0,,
688,104,41A,40,18,0,,
689,229,65B,50,22,0,,
690,193,21B,50,21,0,,
691,106,42C,41,18,0,,
692,106,42C,41,18,0,,
693,129,53B,51,19,0,,
694,198,24C,50,21,0,,
695,195,22D,50,21,0,,
696,158,4C,51,20,0,,
697,156,3A,51,20,0,,
698,103,40D,41,18,0,,
699,196,23A,50,21,0,,
700,128,53A,51,19,0,,
701,106,42C,41,18,0,,
702,103,40D,41,18,0,,
703,228,65A,51,22,0,,
704,228,65A,51,22,0,,
705,158,4C,51,20,0,,
706,228,65A,51,22,0,,
707,193,21B,50,21,0,,
708,156,3A,51,20,0,,
709,193,21B,50,21,0,,
710,198,24C,50,21,0,,
711,104,41A,40,18,0,,
712,158,4C,51,20,0,,
713,106,42C,41,18,0,,
714,106,42C,41,18,0,,
715,230,66C,50,22,0,,
716,128,53A,51,19,0,,
717,228,65A,51,22,0,,
718,195,22D,50,21,0,,
719,106,42C,41,18,0,,
720,101,39B,41,18,0,,
721,103,40D,41,18,0,,
722,103,40D,41,18,0,,
723,130,54C,52,19,0,,
724,130,54C,52,19,0,,
725,101,39B,41,18,0,,
726,156,3A,51,20,0,,
727,196,23A,50,21,0,,
728,196,23A,50,21,0,,
729,130,54C,52,19,0,,
730,198,24C,50,21,0,,
731,228,65A,51,22,0,,
732,156,3A,51,20,0,,
733,198,24C,50,21,0,,
734,104,41A,40,18,0,,
735,153,1B,50,20,0,,
736,104,41A,40,18,0,,
737,156,3A,51,20,0,,
738,158,4C,51,20,0,,
739,196,23A,50,21,0,,
740,130,54C,52,19,0,,
741,104,41A,40,18,0,,
742,196,23A,50,21,0,,
743,130,54C,52,19,0,,
744,130,54C,52,19,0,,
745,130,54C,52,19,0,,
746,130,54C,52,19,0,,
747,110,44C,41,18,0,,
748,110,44C,41,18,0,,
749,130,54C,52,19,0,,
750,158,4C,51,20,0,,
751,130,54C,52,19,0,,
752,158,4C,51,20,0,,
753,130,54C,52,19,0,,
754,158,4C,51,20,0,,
755,158,4C,51,20,0,,
756,153,1B,50,20,0,,
757,153,1B,50,20,0,,
758,153,1B,50,20,0,,
759,228,65A,51,22,0,,
760,198,24C,50,21,0,,
761,158,4C,51,20,0,,
762,230,66C,50,22,0,,
763,101,39B,41,18,0,,
764,230,66C,50,22,0,,
765,101,39B,41,18,0,,
766,198,24C,50,21,0,,
767,198,24C,50,21,0,,
768,196,23A,50,21,0,,
769,101,39B,41,18,0,,
770,198,24C,50,21,0,,
771,101,39B,41,18,0,,
772,195,22D,50,21,0,,
773,156,3A,51,20,0,,
774,158,4C,51,20,0,,
775,193,21B,50,21,0,,
776,196,23A,50,21,0,,
777,193,21B,50,21,0,,
778,196,23A,50,21,0,,
779,158,4C,51,20,0,,
780,196,23A,50,21,0,,
781,195,22D,50,21,0,,
782,196,23A,50,21,0,,
783,198,24C,50,21,0,,
784,198,24C,50,21,0,,
785,110,44C,41,18,0,,
786,131,54D,50,19,0,,
787,104,41A,40,18,0,,
788,198,24C,50,21,0,,
789,198,24C,50,21,0,,
790,110,44C,41,18,0,,
791,110,44C,41,18,0,,
792,110,44C,41,18,0,,
793,110,44C,41,18,0,,
794,104,41A,40,18,0,,
795,198,24C,50,21,0,,
796,156,3A,51,20,0,,
797,230,66C,50,22,0,,
798,158,4C,51,20,0,,
799,103,40D,41,18,0,,
800,198,24C,50,21,0,,
801,104,41A,40,18,0,,
802,158,4C,51,20,0,,
803,193,21B,50,21,0,,
804,130,54C,52,19,0,,
805,156,3A,51,20,0,,
806,156,3A,51,20,0,,
807,202,26C,50,21,0,,
808,132,55A,50,19,0,,
809,155,2D,51,20,0,,
810,155,2D,51,20,0,,
811,110,44C,41,18,0,,
812,195,22D,50,21,0,,
813,101,39B,41,18,0,,
814,202,26C,50,21,0,,
815,202,26C,50,21,0,,
816,156,3A,51,20,0,,
817,158,4C,51,20,0,,
818,156,3A,51,20,0,,
819,158,4C,51,20,0,,
820,153,1B,50,20,0,,
821,158,4C,51,20,0,,
822,156,3A,51,20,0,,
823,158,4C,51,20,0,,
824,155,2D,51,20,0,,
825,130,54C,52,19,0,,
826,195,22D,50,21,0,,
827,195,22D,50,21,0,,
828,158,4C,51,20,0,,
829,202,26C,50,21,0,,
830,158,4C,51,20,0,,
831,202,26C,50,21,0,,
832,132,55A,50,19,0,,
833,153,1B,50,20,0,,
834,153,1B,50,20,0,,
835,110,44C,41,18,0,,
836,228,65A,51,22,0,,
837,202,26C,50,21,0,,
838,202,26C,50,21,0,,
839,202,26C,50,21,0,,
840,202,26C,50,21,0,,
841,202,26C,50,21,0,,
842,202,26C,50,21,0,,
843,202,26C,50,21,0,,
844,202,26C,50,21,0,,
845,202,26C,50,21,0,,
846,228,65A,51,22,0,,
847,231,66D,51,22,0,,
848,158,4C,51,20,0,,
849,129,53B,51,19,0,,
850,110,44C,41,18,0,,
851,104,41A,40,18,0,,
852,193,21B,50,21,0,,
853,158,4C,51,20,0,,
854,104,41A,40,18,0,,
855,196,23A,50,21,0,,
856,202,26C,50,21,0,,
857,202,26C,50,21,0,,
858,156,3A,51,20,0,,
859,156,3A,51,20,0,,
860,130,54C,52,19,0,,
861,156,3A,51,20,0,,
862,158,4C,51,20,0,,
863,158,4C,51,20,0,,
864,156,3A,51,20,0,,
865,104,41A,40,18,0,,
866,196,23A,50,21,0,,
867,230,66C,50,22,0,,
868,193,21B,50,21,0,,
869,156,3A,51,20,0,,
870,110,44C,41,18,0,,
871,104,41A,40,18,0,,
872,196,23A,50,21,0,,
873,162,6C,50,20,0,,
874,110,44C,41,18,0,,
875,162,6C,50,20,0,,
876,162,6C,50,20,0,,
877,162,6C,50,20,0,,
878,132,55A,50,19,0,,
879,110,44C,41,18,0,,
880,108,43A,40,18,0,,
881,132,55A,50,19,0,,
882,195,22D,50,21,0,,
883,130,54C,52,19,0,,
884,193,21B,50,21,0,,
885,195,22D,50,21,0,,
886,193,21B,50,21,0,,
887,162,6C,50,20,0,,
888,202,26C,50,21,0,,
889,156,3A,51,20,0,,
890,110,44C,41,18,0,,
891,202,26C,50,21,0,,
892,162,6C,50,20,0,,
893,162,6C,50,20,0,,
894,162,6C,50,20,0,,
895,131,54D,50,19,0,,
896,103,40D,41,18,0,,
897,193,21B,50,21,0,,
898,229,65B,50,22,0,,
899,108,43A,40,18,0,,
900,108,43A,40,18,0,,
901,202,26C,50,21,0,,
902,110,44C,41,18,0,,
903,196,23A,50,21,0,,
904,202,26C,50,21,0,,
905,103,40D,41,18,0,,
906,130,54C,52,19,0,,
907,193,21B,50,21,0,,
908,101,39B,41,18,0,,
909,130,54C,52,19,0,,
910,131,54D,50,19,0,,
911,130,54C,52,19,0,,
912,130,54C,52,19,0,,
913,130,54C,52,19,0,,
914,110,44C,41,18,0,,
915,156,3A,51,20,0,,
916,129,53B,51,19,0,,
917,101,39B,41,18,0,,
918,130,54C,52,19,0,,
919,129,53B,51,19,0,,
920,129,53B,51,19,0,,
921,101,39B,41,18,0,,
922,110,44C,41,18,0,,
923,202,26C,50,21,0,,
924,110,44C,41,18,0,,
